id|airport_code|code
2160|MOI|COK000001000
2161|MOL|NOR000034000
2162|MOQ|MDG000009000
2163|MOT|USA0NDMOT000
2164|MIB|USA0NDMOT000
2165|MOU|USAAP0271000
2166|MOZ|PYF000005000
2167|MPA|NAM000003000
2168|MPW|UKR000006000
2169|MQF|RUS000020000
2170|MQL|AUS000091000
2171|MQM|TUR000012000
2172|MQN|NOR000034000
2173|MQS|VCT000001000
2174|MQX|ETH000015000
2175|MRA|LBY000005000
2176|MRD|VEN00000L000
2177|MRE|KEN000003000
2178|MRQ|PHL000020000
2179|MRY|USA0CAMRY000
2180|OAR|USA0CAMRY000
2181|MRZ|AUS000092000
2182|MSA|CAN000013000
2183|MSE|GBR000028000
2184|MSJ|JPN000068000
2185|MSL|USAAP0272000
2186|MSO|USA0MTMSO000
2187|MSR|TUR000013000
2188|MSS|USAAP0273000
2189|MSZ|AGO000004000
2190|MTE|BRA000052000
2191|MTF|ETH000016000
2192|MTH|USAAP0274000
2193|MTM|USAAP0275000
2194|MTR|COL000024000
2195|MTT|MEX000015000
2196|MTV|VUT000006000
2197|MUA|SLB000009000
2198|MUE|USAAP0276000
2199|MUH|EGY000006000
2200|MUK|COK000002000
2201|MUN|VEN000005000
2202|MUR|MYS000012000
2203|MUW|DZA000005000
2204|MUX|PAK000MUX000
2205|MUZ|TZA000002000
2206|MVB|GAB000007000
2207|MVR|CMR000005000
2208|MVS|BRA000053000
2209|MVT|PYF000006000
2210|MVY|USAAP0277000
2211|MWA|USAAP0278000
2212|MWE|SDN000005000
2213|MWF|VUT000007000
2214|MWH|USAAP0279000
2215|LRN|USAAP0279000
2216|MWI|PNG000057000
2217|MWP|NPL000010000
2218|MWZ|TZA0000MW000
2219|MXH|PNG000058000
2220|MXK|PNG000059000
2221|MXL|MEX000MXL000
2222|MXS|WSM000001000
2223|MXT|MDG000010000
2224|MXV|MNG000004000
2225|MXW|MNG000005000
2226|MXX|TUR000MUG000
2227|MYA|AUS000093000
2228|MYB|GAB000008000
2229|MYC|VEN000006000
2230|MYD|KEN000004000
2231|MYE|JPN000069000
2232|MYG|BHS000008000
2233|MYI|AUS000094000
2234|MYR|USAAP0280000
2235|CRE|USAAP0280000
2236|MYT|MMR000007000
2237|MYU|USAAP0281000
2238|MYW|TZA000003000
2239|MYX|PNG000060000
2240|MZI|MLI0000MP000
2241|MZL|COL000025000
2242|MZO|CUB000019000
2243|MZT|MEX000016000
2244|MZV|MYS000013000
2245|MZW|DZA000006000
2246|NAA|AUS000095000
2247|NAG|IND000023000
2248|NAK|THA000007000
2249|NAQ|GRL000001000
2250|NCH|TZA000004000
2251|NCP|PHL000021000
2252|NDB|MRT000004000
2253|NDI|PNG000061000
2254|NDK|MHL000006000
2255|NDR|MAR000001000
2256|NDY|GBR000029000
2257|NER|RUS000021000
2258|NFG|RUS000022000
2259|NGE|CMR000006000
2260|NGI|FJI000007000
2261|NGX|MYS0PGMAR000
2262|NHV|PYF000007000
2263|NIB|USAAP0282000
2264|NKI|USAAP0283000
2265|NKN|PNG000062000
2266|NKY|COG000003000
2267|NLD|MEX000017000
2268|NLF|AUS000096000
2269|NLG|USAAP0284000
2270|NLK|NFK000001000
2271|NLP|ZAF000NLP000
2272|MQP|ZAF000NLP000
2273|NLV|UKR000084000
2274|NMA|UZB0000NG000
2275|NME|USAAP0285000
2276|NNB|SLB000010000
2277|NNL|USAAP0286000
2278|NNM|RUS000023000
2279|NNT|THA000055000
2280|NNX|IDN000040000
2281|NOB|CRI000002000
2282|NOC|IRL000006000
2283|NOJ|RUS000024000
2284|NOS|MDG000011000
2285|NOV|AGO000HUA000
2286|NOZ|RUS000025000
2287|NPE|NZL000012000
2288|NQN|ARG000NQN000
2289|NRA|AUS000097000
2290|NRD|DEU000021000
2291|NRK|SWE000008000
2292|NRL|GBR000030000
2293|NSH|IRN000014000
2294|NSK|RUS000026000
2295|NST|THA000080000
2296|NTN|AUS000098000
2297|NTO|CPV000002000
2298|NTT|TON000001000
2299|NUB|AUS000099000
2300|NUI|USAAP0287000
2301|NUL|USAAP0288000
2302|NUP|USAAP0289000
2303|NUS|VUT000008000
2304|NUX|RUS000027000
2305|NVA|COL000026000
2306|NVK|NOR000035000
2307|NVT|BRA000054000
2308|NYK|KEN000005000
2309|NYM|RUS000028000
2310|NYU|MMR000008000
2311|OAG|AUS000100000
2312|OAJ|USA0FLJAX000
2313|OAX|MEX000OAX000
2314|OBI|BRA000055000
2315|OBO|JPN000070000
2316|OBU|USAAP0290000
2317|OCC|ECU000004000
2318|OCJ|JAM000001000
2319|ODN|MYS000014000
2320|ODW|USAAP0291000
2321|OGN|JPN000071000
2322|OGS|USAAP0292000
2323|OGX|DZA000OUA000
2324|OHO|RUS000029000
2325|OIM|JPN000072000
2326|OIR|JPN000073000
2327|OKE|JPN000074000
2328|OKI|JPN000075000
2329|OKR|AUS000101000
2330|OKU|NAM000004000
2331|OKY|AUS000102000
2332|OLF|USAAP0293000
2333|OLJ|VUT000009000
2334|OLK|PRY000003000
2335|OLP|AUS000103000
2336|OMB|GAB000009000
2337|OMD|NAM000005000
2338|OME|USAAP0294000
2339|OMH|IRN000015000
2340|OMO|BIH000001000
2341|OMR|ROU0000OR000
2342|OND|NAM000006000
2343|ONG|AUS000104000
2344|ONJ|JPN000076000
2345|ONX|DEU000CGN000
2346|OOK|USAAP0295000
2347|OOM|AUS000105000
2348|OPS|TUR000SIN000
2349|OPU|PNG000063000
2350|ORH|USA0MAORH000
2351|ORN|DZA000ORA000
2352|TAF|DZA000ORA000
2353|ORT|USAAP0296000
2354|ORV|USAAP0297000
2355|ORW|PAK000008000
2356|ORX|BRA000056000
2357|OSD|SWE000009000
2358|OSE|PNG000064000
2359|OSH|USA0WIOSH000
2360|OSI|HRV000024000
2361|OSK|SWE000010000
2362|OSW|RUS000030000
2363|OSY|NOR000036000
2364|OTD|PAN000009000
2365|OTH|USAAP0298000
2366|OTS|USAAP0299000
2367|OTU|COL000027000
2368|OTZ|USAAP0300000
2369|OUA|BFA000003000
2370|OUD|MAR000002000
2371|OUE|COG000004000
2372|OUZ|MRT000005000
2373|OXB|GNB000002000
2374|OXR|USAAP0301000
2375|OYE|GAB000010000
2376|OYG|UGA000001000
2377|OYK|BRA000057000
2378|OZH|UKR000023000
2379|OZZ|MAR000003000
2380|PAF|UGA000002000
2381|PAH|USAAP0302000
2382|PAI|KHM0000PL000
2383|PAS|GRC000008000
2384|PAT|IND000024000
2385|PAX|HTI000002000
2386|PAZ|MEX000018000
2387|PBC|MEX000PUE000
2388|PBD|IND000025000
2389|PBE|COL000028000
2390|PBJ|VUT000010000
2391|PBO|AUS000106000
2392|PBP|CRI000003000
2393|PBU|MMR000009000
2394|PBZ|ZAF000004000
2395|PCA|USAAP0303000
2396|PCH|HND000002000
2397|PCL|PER000005000
2398|PCP|STP000000000
2399|PDB|USAAP0304000
2400|PDI|PNG000065000
2401|PDL|PRT000PDL000
2402|PDP|URY000001000
2403|PDS|MEX000019000
2404|PDT|USAAP0305000
2405|PEC|USAAP0306000
2406|PEI|COL000029000
2407|PEM|PER000006000
2408|PES|RUS000031000
2409|PET|BRA000058000
2410|PEU|HND000003000
2411|PEV|HUN000001000
2412|PEX|RUS000032000
2413|PFB|BRA000059000
2414|PFN|USAAP0307000
2415|PFQ|IRN000016000
2416|PGK|IDN000041000
2417|PGM|USAAP0308000
2418|PGV|USA0MSGLH000
2419|PGX|FRA000044000
2420|PHE|AUS000107000
2421|PHF|USAAP0309000
2422|PHG|NGA000007000
2423|PHO|USAAP0310000
2424|PHS|THA000065000
2425|PHW|ZAF000005000
2426|PIH|USA0IDPIH000
2427|PIN|BRA000060000
2428|PIP|USAAP0311000
2429|UGB|USAAP0311000
2430|PIR|USAAP0312000
2431|PIU|PER0000PI000
2432|PIZ|USAAP0313000
2433|PJA|SWE000011000
2434|PJG|PAK000009000
2435|PJM|CRI000004000
2436|PKA|USAAP0314000
2437|PKB|USA0WVPKB000
2438|PKE|AUS000108000
2439|PKH|GRC000009000
2440|PKR|NPL000011000
2441|PKU|IDN000042000
2442|PKV|RUS000PSK000
2443|PKY|IDN000043000
2444|PKZ|LAO000001000
2445|PLJ|BLZ000005000
2446|PLN|USAAP0315000
2447|PLO|AUS0SAPLO000
2448|PLP|PAN000010000
2449|PLS|TCA000001000
2450|PLV|UKR000053000
2451|PLW|IDN000044000
2452|PMA|TZA000005000
2453|PMC|CHL000004000
2454|PML|USAAP0316000
2455|PMN|PNG000066000
2456|PMR|NZL000PMR000
2457|PMV|VEN000007000
2458|PMW|BRA000061000
2459|PMY|ARG000005000
2460|PMZ|CRI000005000
2461|PNA|ESP000014000
2462|PNC|USAAP0317000
2463|PND|BLZ000006000
2464|PNL|ITA000013000
2465|PNP|PNG000067000
2466|PNR|COG000005000
2467|PNZ|BRA000062000
2468|POA|BRA000063000
2469|POG|GAB000011000
2470|POL|MOZ000007000
2471|POP|DOM000003000
2472|POR|FIN000POR000
2473|POS|TTO000001000
2474|POT|JAM000002000
2475|PPB|BRA000064000
2476|PPG|ASM000001000
2477|PPN|COL000030000
2478|PPP|AUS000109000
2479|PPT|PYF000008000
2480|PPV|USAAP0318000
2481|PPW|GBR000031000
2482|PQC|VNM000007000
2483|PQI|USAAP0319000
2484|PQQ|AUS000110000
2485|PQS|USAAP0320000
2486|PRC|USAAP0321000
2487|PRH|THA000008000
2488|PRI|SYC000002000
2489|PRS|SLB000011000
2490|PSC|USA0WAPSC000
2491|PSE|PRI000003000
2492|PSG|USAAP0322000
2493|PSI|PAK000010000
2494|PSO|COL000031000
2495|PSS|ARG000PSS000
2496|PSU|IDN000045000
2497|PSZ|BOL000005000
2498|PTA|USAAP0323000
2499|PTG|ZAF000006000
2500|PTH|USAAP0324000
2501|PTJ|JAM000POR000
2502|PTP|GLP000002000
2503|PTQ|BRA000065000
2504|PTU|USAAP0325000
2505|PUB|USAAP0326000
2506|PUJ|DOM000004000
2507|PUQ|CHL000005000
2508|PUT|IND000026000
2509|PUU|COL000032000
2510|PUW|USAAP0327000
2511|PUY|HRV000025000
2512|PVA|COL000033000
2513|PVC|USAAP0328000
2514|PVH|BRA000066000
2515|PVK|GRC000010000
2516|PVR|MEX000PVR000
2517|PWQ|KAZ000005000
2518|PXM|MEX000020000
2519|PXO|PRT000006000
2520|PXU|VNM000008000
2521|PYE|COK000003000
2522|PYH|VEN000008000
2523|PYJ|RUS000033000
2524|PZB|ZAF000007000
2525|PZE|GBR000032000
2526|PZO|VEN000009000
2527|PZU|SDN000006000
2528|QBC|CAN000014000
2529|QCU|GRL000002000
2530|QFI|GRL000003000
2531|QGQ|MDV000ADD000
2532|QJE|GRL000004000
2533|QJI|GRL000005000
2534|QMK|GRL000006000
2535|QPW|GRL000007000
2536|QRO|MEX000021000
2537|QRW|NGA000008000
2538|QRY|GRL000008000
2539|QSF|DZA000SET000
2540|QUP|GRL000009000
2541|RAB|PNG000068000
2542|RAE|SAU000008000
2543|RAH|SAU000009000
2544|RAI|CPV0000PR000
2545|RAJ|IND000027000
2546|RAM|AUS000111000
2547|RAO|BRA000067000
2548|RAP|USA0SDRAP000
2549|RCA|USA0SDRAP000
2550|RAR|COK000004000
2551|RAS|IRN000017000
2552|RAT|RUS000034000
2553|RBE|KHM000001000
2554|RBJ|JPN000077000
2555|RBP|PNG000069000
2556|RBR|BRA000068000
2557|RBV|SLB000012000
2558|RBY|USAAP0329000
2559|RCB|ZAF000008000
2560|RCE|USAAP0330000
2561|RCH|COL000034000
2562|RCM|NZL000RMD000
2563|RCU|ARG000RCU000
2564|RDD|USAAP0331000
2565|RDG|USAAP0331000
2566|RDM|USAAP0332000
2567|RDV|USAAP0333000
2568|REN|RUS000ORE000
2569|RES|ARG000006000
2570|RET|NOR000037000
2571|REU|ESP000015000
2572|REX|MEX000REX000
2573|RFP|PYF000009000
2574|RGA|ARG000007000
2575|RGI|PYF000010000
2576|RGL|ARG000RGL000
2577|RHI|USAAP0334000
2578|RHN|NAM000007000
2579|RIA|BRA000069000
2580|RIB|BOL000006000
2581|RIN|SLB000013000
2582|RIS|JPN000078000
2583|RIW|USAAP0335000
2584|RIY|YEM000003000
2585|RJH|BGD000002000
2586|RJK|HRV000026000
2587|RJN|IRN000018000
2588|RKD|USAAP0336000
2589|RKS|USAAP0337000
2590|RLG|DEU000022000
2591|RLO|ARG000008000
2592|RMA|ITA000ROM000
2593|RMP|USAAP0338000
2594|RNA|SLB000014000
2595|RNE|FRA000045000
2596|RNJ|JPN000079000
2597|RNL|SLB000015000
2598|RNN|DNK000005000
2599|ROK|AUS000112000
2600|ROL|USAAP0339000
2601|ROP|MNP000001000
2602|ROS|ARG000ROS000
2603|ROW|USA0NMROW000
2604|RPN|ISR000001000
2605|RPR|IND000028000
2606|RRG|MUS000001000
2607|RRS|NOR000038000
2608|RSA|ARG000RSA000
2609|RSD|BHS000009000
2610|RSH|USAAP0340000
2611|RSJ|USA0WARSJ000
2612|RST|USA0MNRST000
2613|JRC|USA0MNRST000
2614|RTB|HND000004000
2615|RTW|RUS000SAR000
2616|RUA|UGA000003000
2617|RUI|USAAP0341000
2618|RUR|PYF000011000
2619|RUT|USA0VTRUT000
2620|RVK|NOR000039000
2621|RXS|PHL000022000
2622|RYK|PAK000011000
2623|RZE|POL000RZE000
2624|RZR|IRN000019000
2625|SAB|NLD000006000
2626|SAF|USAAP0342000
2627|SAK|ISL000007000
2628|SAL|SLV0000SS000
2629|SAM|PNG000070000
2630|SAP|HND000005000
2631|SAQ|BHS000010000
2632|SAX|PAN000011000
2633|SAY|ITA000014000
2634|SBH|GLP000003000
2635|SBR|AUS000113000
2636|SBU|ZAF000SBU000
2637|SBY|USAAP0343000
2638|SCC|USAAP0344000
2639|SCJ|USAAP0345000
2640|SCM|USAAP0346000
2641|SCN|DEU000023000
2642|SCT|YEM000004000
2643|SCU|CUB000013000
2644|SCW|RUS000SCW000
2645|SCX|MEX000022000
2646|SDD|AGO000005000
2647|SDE|CHL0000RM000
2648|SDG|IRN000020000
2649|SDI|PNG000071000
2650|SDL|SWE000012000
2651|SDN|NOR000040000
2652|SDP|USAAP0347000
2653|SDQ|CPV0000SD000
2654|JBQ|CPV0000SD000
2655|SDY|USAAP0348000
2656|SCS|GBR000033000
2657|LSI|GBR000033000
2658|LWK|GBR000033000
2659|SEB|LBY000006000
2660|SEY|MRT000006000
2661|SFA|TUN0000SF000
2662|SFD|VEN000010000
2663|SFE|PHL000023000
2664|SFG|PER0000SM000
2665|SFJ|GRL000010000
2666|SFL|CPV000003000
2667|SFN|ARG000SFN000
2668|SFT|SWE000013000
2669|SFU|PNG000072000
2670|SGC|RUS000035000
2671|SGD|DNK000006000
2672|SGE|DEU000024000
2673|SGI|PAK000012000
2674|BHW|PAK000012000
2675|SGO|USA0UTSGU000
2676|SGU|USA0UTSGU000
2677|SGY|USAAP0349000
2678|SHB|JPN000080000
2679|SHC|ETH000017000
2680|SHD|USAAP0350000
2681|SHG|USAAP0351000
2682|SHH|USAAP0352000
2683|SHM|JPN000081000
2684|SHR|USAAP0353000
2685|SHW|SAU000010000
2686|SHX|USAAP0354000
2687|SHY|TZA0000SH000
2688|SIF|NPL000012000
2689|SIJ|ISL000008000
2690|SIR|CHE000003000
2691|SIT|USAAP0355000
2692|SJD|MEX000023000
2693|SJI|PHL000024000
2694|SJK|BRA000070000
2695|SJP|BRA000071000
2696|SJT|USAAP0356000
2697|GOF|USAAP0356000
2698|SJY|FIN000007000
2699|SJZ|PRT000007000
2700|SKB|KNA000001000
2701|SKD|UZB000001000
2702|SKE|NOR000041000
2703|SKK|USAAP0357000
2704|SKN|NOR000042000
2705|SKU|GRC000011000
2706|SKZ|PAK000013000
2707|SLE|USAAP0358000
2708|SLH|VUT000011000
2709|SLK|USAAP0359000
2710|SLL|OMN000001000
2711|SLM|ESP000SLM000
2712|SLN|USAAP0360000
2713|SLP|MEX000024000
2714|SLQ|USAAP0361000
2715|SLW|MEX000025000
2716|SLX|TCA000002000
2717|SLY|RUS000036000
2718|SLZ|ARG000LUQ000
2719|SMA|PRT000008000
2720|SMI|GRC000012000
2721|SMJ|PNG000073000
2722|SMK|USAAP0362000
2723|SML|BHS000011000
2724|SMQ|IDN000046000
2725|SMR|COL000035000
2726|SMS|JAM000MAR000
2727|SMX|USAAP0363000
2728|SNE|CPV000004000
2729|SNO|THA000009000
2730|SNP|USAAP0364000
2731|SNW|MMR000010000
2732|SOD|BRA000072000
2733|SOG|NOR000043000
2734|SOJ|NOR000044000
2735|SOM|VEN000011000
2736|SON|VUT000012000
2737|SOO|SWE000014000
2738|SOQ|IDN000047000
2739|SOV|USAAP0365000
2740|SOY|GBR000034000
2741|SPC|ESP000016000
2742|SPD|BGD000003000
2743|SPP|AGO000006000
2744|SPR|BLZ000007000
2745|SPS|USAAP0366000
2746|KIP|USAAP0366000
2747|SQG|IDN000048000
2748|SQH|VNM000009000
2749|SQO|SWE000015000
2750|SRE|COL000SUC000
2751|SRI|IDN000049000
2752|SRP|NOR000045000
2753|SRQ|USAAP0367000
2754|SRV|USAAP0368000
2755|SRX|TUR000SII000
2756|SRY|IRN000021000
2757|SRZ|BOL000SRZ000
2758|VVI|BOL000SRZ000
2759|SSI|USAAP0369000
2760|BQK|USAAP0369000
2761|SSJ|NOR000046000
2762|CIU|USAAP0370000
2763|INR|USAAP0370000
2764|SSR|VUT000013000
2765|STB|VEN000012000
2766|STC|USAAP0371000
2767|JSK|USAAP0371000
2768|STD|CPV0000SD000
2769|STG|USAAP0372000
2770|STI|CHL0000RM000
2771|STM|BRA000073000
2772|STT|JAM000THO000
2773|SPB|JAM000THO000
2774|STW|RUS000STA000
2775|SUF|ITA000015000
2776|SUG|PHL000025000
2777|SUJ|ROU000001000
2778|SUL|PAK000014000
2779|SUN|USAAP0373000
2780|SUR|CAN000015000
2781|SUX|USAAP0374000
2782|SVA|USAAP0375000
2783|SVB|MDG000012000
2784|SVC|USAAP0376000
2785|SVD|VCT000002000
2786|SVJ|NOR000047000
2787|SVL|FIN000008000
2788|SVS|USAAP0377000
2789|SVU|FJI000008000
2790|SVZ|USA0TXSAT000
2791|SWF|USAAP0378000
2792|SWG|PNG000074000
2793|SWJ|VUT000014000
2794|SWQ|IDN000050000
2795|SWS|GBRWLSSWA000
2796|SWU|KOR049SUO000
2797|SXH|PNG000075000
2798|SXL|IRL000007000
2799|SXM|NLD000007000
2800|SXP|USAAP0379000
2801|SXR|IND000029000
2802|SYO|JPN000082000
2803|SYU|AUS000114000
2804|SYY|GBR000035000
2805|SYZ|IRN000022000
2806|SZK|ZAF000009000
2807|SZZ|POL000SZZ000
2808|TAC|PHL000026000
2809|TAG|PHL000027000
2810|TAH|VUT000015000
2811|TAI|YEM0000TA000
2812|TAJ|PNG000076000
2813|TAK|JPN000083000
2814|TAL|USAAP0380000
2815|TAM|MEX000TAM000
2816|TAP|MEX000TAP000
2817|TAR|ITA000TAR000
2818|TAV|ASM000002000
2819|TBG|PNG000077000
2820|TBI|BHS000012000
2821|TBJ|TUN000002000
2822|TBN|USAAP0381000
2823|TBO|TZA0000TB000
2824|TBP|PER000007000
2825|TBT|BRA000074000
2826|TBZ|IRN000023000
2827|TCA|AUS000115000
2828|TCB|BHS000013000
2829|TCO|COL000036000
2830|TCQ|PER0000TA000
2831|TCT|USAAP0382000
2832|TCX|IRN000024000
2833|TDB|PNG000078000
2834|TDD|BOL000007000
2835|TDX|THA000107000
2836|TEB|USAAP0383000
2837|TED|DNK000007000
2838|TEE|DZA000007000
2839|TEP|PNG000079000
2840|TER|PRT000009000
2841|TET|MOZ000008000
2842|TEX|USAAP0384000
2843|TEZ|IND000030000
2844|TFF|BRA000075000
2845|TFI|PNG000080000
2846|TFM|PNG000081000
2847|TGH|VUT000016000
2848|TGJ|NCL000002000
2849|TGM|ROU0000TM000
2850|TGR|DZA000008000
2851|TGZ|MEX000026000
2852|THE|BRA000076000
2853|THG|AUS000116000
2854|THL|MMR000011000
2855|THN|SWE000016000
2856|THO|ISL000009000
2857|THS|THA000064000
2858|THU|GRL000011000
2859|TID|DZA000TIA000
2860|TIE|ETH000018000
2861|TIF|SAU000TAR000
2862|TIH|PYF000012000
2863|TIM|IDN000051000
2864|TIN|DZA000TIN000
2865|TIQ|MNP000002000
2866|TIR|IND000031000
2867|TIU|NZL000013000
2868|TIV|SCG000001000
2869|TIY|MRT000007000
2870|TIZ|PNG000082000
2871|TJA|BOL000TJA000
2872|TJG|IDN000052000
2873|TJH|JPN000115000
2874|TJI|HND000006000
2875|TJQ|IDN000053000
2876|TJS|IDN000054000
2877|TKB|PNG000083000
2878|TKE|USAAP0385000
2879|TKG|IDN000055000
2880|TKJ|USAAP0386000
2881|TKK|FSM000001000
2882|TKN|JPN000084000
2883|TKQ|TZA0000KI000
2884|TKX|PYF000013000
2885|TLA|USAAP0387000
2886|TLD|BWA000003000
2887|TLE|MDG000013000
2888|TLJ|USAAP0388000
2889|TLM|DZA000009000
2890|TLT|USAAP0389000
2891|TLU|COL000037000
2892|TMC|IDN000056000
2893|TMG|MYS000015000
2894|TMI|NPL000013000
2895|TMJ|UZB000002000
2896|TMM|MDG000014000
2897|TMR|DZA000TAM000
2898|TMS|STP000001000
2899|TMT|BRA000077000
2900|TMU|CRI000006000
2901|TMW|AUS000117000
2902|TMX|DZA000010000
2903|TNC|USAAP0390000
2904|TND|CUB000020000
2905|TNE|JPN000085000
2906|TNK|USAAP0391000
2907|TNO|CRI000007000
2908|TNX|KHM000TNX000
2909|TOB|LBY000007000
2910|TOE|TUN0000TO000
2911|TOF|RUS000TOM000
2912|TOG|USAAP0392000
2913|TOH|VUT000017000
2914|TOM|MLI0000TB000
2915|TOP|USA0KSTOP000
2916|FOE|USA0KSTOP000
2917|TOU|NCL000003000
2918|TPP|PER000008000
2919|TPQ|MEX000TPQ000
2920|TPR|AUS000118000
2921|TQR|ITA000016000
2922|TRA|JPN000086000
2923|TRC|MEX000TRC000
2924|TRE|GBR000036000
2925|TRG|NZL000014000
2926|TRI|GBRENGBST000
2927|TRK|IDN000057000
2928|TRO|AUS000119000
2929|TRW|KIR000002000
2930|TRZ|IND000032000
2931|TSJ|JPN000087000
2932|TSM|USAAP0393000
2933|TSU|KIR000003000
2934|TTB|ITA000017000
2935|TTJ|JPN000031000
2936|TTU|MAR000TET000
2937|TUB|PYF000014000
2938|TUC|ARG000009000
2939|TUG|PHL000028000
2940|TUI|SAU000011000
2941|TUK|PAK000015000
2942|TUP|USAAP0394000
2943|TUR|BRA000078000
2944|TUU|SAU000012000
2945|TUV|VEN000013000
2946|TVA|MDG000015000
2947|TVF|USAAP0395000
2948|TVU|FJI000009000
2949|TVY|MMR000012000
2950|TWB|AUSQLDTWB000
2951|WTB|AUSQLDTWB000
2952|TWD|USAAP0396000
2953|TWF|USAAP0397000
2954|TYF|SWE000017000
2955|TYR|USAAP0387000
2956|TZN|BHS000014000
2957|UAH|PYF000015000
2958|UAK|GRL000012000
2959|UAP|PYF000016000
2960|UAQ|ARG000UAQ000
2961|UAS|KEN000006000
2962|UBA|BRA000079000
2963|UBB|AUS000120000
2964|UBI|PNG000084000
2965|UBP|THA000108000
2966|UBS|USA0GACZX000
2967|GTR|USA0GACZX000
2968|UCT|RUS000037000
2969|UDI|BRA000080000
2970|UDJ|UKR000008000
2971|UDR|IND000UDR000
2972|UEL|MOZ000009000
2973|UEO|JPN000088000
2974|UET|PAK000016000
2975|UGA|MNG000006000
2976|UGC|UZB000003000
2977|UIB|COL000038000
2978|UIH|VNM000010000
2979|UIK|RUS000038000
2980|UIN|USAAP0398000
2981|UIT|MHL000007000
2982|UJE|MHL000008000
2983|UKA|KEN000007000
2984|UKK|KAZ000006000
2985|UKU|PNG000085000
2986|ULB|VUT000018000
2987|ULD|ZAF000ULD000
2988|ULG|MNG000007000
2989|ULO|MNG000008000
2990|ULP|AUS000121000
2991|ULV|RUS000ULY000
2992|ULY|RUS000ULY000
2993|ULZ|MNG000009000
2994|UMD|GBRENGYOR000
2995|UME|SWE000018000
2996|UMT|USAAP0399000
2997|UNA|BRA000081000
2998|UNG|PNG000086000
2999|UNI|VCT000003000
3000|UNK|USAAP0400000
3001|UNN|THA000109000
3002|UNR|MNG000010000
3003|UPG|IDN000058000
3004|UPN|MEX000027000
3005|URG|BRA000082000
3006|URJ|RUS000039000
3007|URY|SAU000013000
3008|USK|RUS000040000
3009|USU|PHL000029000
3010|UTK|MHL000009000
3011|UTN|ZAF000UTN000
3012|UTO|USAAP0401000
3013|UTP|THA000110000
3014|UTT|ZAF000UTT000
3015|UUD|RUS000UUD000
3016|UUN|MNG000011000
3017|UVE|NCL000004000
3018|UVL|EGY000007000
3019|UVO|PNG000087000
3020|UYL|SDN000007000
3021|VAG|BRA000083000
3022|VAI|PNG000088000
3023|VAK|USAAP0402000
3024|VAO|SLB000016000
3025|VAW|NOR000048000
3026|VBY|SWE000019000
3027|VCT|USA0AKVCT000
3028|VDB|NOR000049000
3029|VDC|BRA000084000
3030|VDE|ESP000017000
3031|VDS|NOR000050000
3032|VDZ|USAAP0403000
3033|VEE|USAAP0404000
3034|VEJ|DNK000008000
3035|VEL|USAAP0405000
3036|VER|MEX000VER000
3037|VFA|ZWE000002000
3038|VHC|AGO000007000
3039|VHM|SWE000020000
3040|VIG|VEN000014000
3041|VII|VNM000011000
3042|VIJ|VGB000001000
3043|VIL|MAR000004000
3044|VIS|USAAP0406000
3045|VIT|ESP000018000
3046|VIV|PNG000089000
3047|VIX|AUSVIC000000
3048|vkg|VNM000012000
3049|VKT|RUS000041000
3050|VLD|USAAP0407000
3051|VAD|USAAP0407000
3052|VLK|RUS000042000
3053|VLN|VEN000015000
3054|VLS|VUT000019000
3055|VLV|VEN000016000
3056|VME|ARG000010000
3057|VMI|PRY000004000
3058|VMU|PNG000090000
3059|VNX|MOZ000010000
3060|VPE|AGO000008000
3061|VPN|ISL000010000
3062|VPS|USAAP0408000
3063|EGI|USAAP0408000
3064|DSI|USAAP0408000
3065|VRA|CUB000021000
3066|VRO|CUB000021000
3067|VRC|PHL000030000
3068|VRK|FIN000009000
3069|VRL|PRT000010000
3070|VRY|NOR000051000
3071|VSG|UKR000086000
3072|VTU|CUB000001000
3073|VTZ|IND000033000
3074|VUP|COL000039000
3075|VVC|COL000040000
3076|VVZ|DZA000ILL000
3077|VXC|MOZ000011000
3078|VXE|SLV0000SV000
3079|VXO|SWE000021000
3080|WAA|USA0AKWAA000
3081|WAE|SAU000014000
3082|WAG|NZL000015000
3083|WAI|MDG000016000
3084|WAM|MDG000017000
3085|WAQ|MDG000018000
3086|WBB|USAAP0409000
3087|WBQ|USAAP0410000
3088|WDG|USAAP0411000
3089|END|USAAP0411000
3090|WED|PNG000091000
3091|WEI|AUS000122000
3092|WFI|MDG0000FN000
3093|WGA|AUS000123000
3094|WGE|AUS000124000
3095|WGP|IDN000059000
3096|WHF|SDN000008000
3097|WHK|NZL000WHK000
3098|WIC|GBR000037000
3099|WIN|AUS000125000
3100|WJA|MHL000010000
3101|WJU|KOR042WJU000
3102|WKA|NZL000016000
3103|WKJ|JPN000089000
3104|WKK|USAAP0412000
3105|WLH|VUT000020000
3106|WLK|USAAP0413000
3107|WMK|USAAP0414000
3108|WMN|MDG000019000
3109|WMR|MDG000020000
3110|WNN|CAN000016000
3111|WNP|PHL000031000
3112|WNR|AUS000126000
3113|WRE|NZL000WRE000
3114|WRG|USAAP0415000
3115|WRL|USAAP0416000
3116|WRY|GBR000038000
3117|WSN|USAAP0417000
3118|WST|USAAP0418000
3119|WSU|PNG000092000
3120|WSX|USAAP0419000
3121|WSZ|NZL000017000
3122|WTA|MDG000021000
3123|WTE|MHL000011000
3124|WTK|USAAP0294000
3125|WTL|USAAP0420000
